leisure	name	sport	lat	lon	type	id	building	access	climbing:rock	climbing	climbing:sport	climbing:boulder	climbing:toprope
sports_centre	Palestra Romarzollo	volleyball	10.867913519999998	45.920001119999995	Feature	relation/5685356							
sports_centre		volleyball	10.575759429411768	45.85106224705881	Feature	way/164753085							
sports_centre		soccer	11.089699261538462	46.00542776923077	Feature	relation/2441743							
sports_centre		soccer	10.905907699999998	45.91918784	Feature	way/27663007							
sports_centre	Centro Sportivo Trilacum	soccer	11.045085382352944	46.08800476470589	Feature	way/37762866							
sports_centre	Centro Sportivo Guaita	soccer	10.94206556	46.02455954	Feature	way/62756632							
sports_centre		soccer	10.906532680000002	45.91949113999999	Feature	way/76564582							
sports_centre		soccer	10.903778460000002	45.91402362	Feature	way/76592148							
sports_centre	Stadio comunale	soccer	10.759026655555553	46.153050699999994	Feature	way/432329037							
sports_centre	"Campo da calcio ""O. Mantovan"""	soccer	11.129202069230768	46.00784200769231	Feature	way/1022619304							
sports_centre	Centro polivalente di Darzo Carlo Maffei	climbing	10.5512128	45.8344218125	Feature	way/44030557	yes						
sports_centre		climbing	11.523058714285714	46.05281157142857	Feature	way/219201990	yes						
sports_centre	Forest Park	climbing	10.963743749999999	46.152607687499994	Feature	way/291844865							
sports_centre	Climbing Stadium Arco Rock	climbing	10.890742039999997	45.92337547333333	Feature	way/638978639	roof			wall	yes		no
sports_centre		climbing	11.94266518	46.19260592	Feature	way/1054881641	yes						
sports_centre	Pizzocol	climbing	10.71728302	45.92632734	Feature	way/1174005531	no						
sports_centre	Al Coel	climbing	10.72001404	45.925027	Feature	way/1174005532	no						
sports_centre	Finale Ampola	climbing	10.644919171428572	45.86247845714286	Feature	way/1174006704							
sports_centre	Futur Ampola	climbing	10.63662664	45.858587920000005	Feature	way/1174007261							
sports_centre	Corna dal Vescof	climbing	10.56931952	45.8382586	Feature	way/1174008006	yes						
sports_centre	Massi di Gaggiolo	climbing	10.92565192	45.99168162000001	Feature	way/1174008806							
sports_centre	Pian dela Paia	climbing	10.926031080000001	46.00941556	Feature	way/1174009685	no						
sports_centre	Transatlantico	climbing	10.92979706	46.01495731999999	Feature	way/1174010888	no						
sports_centre	Camerette	climbing	10.93452988	46.018887959999994	Feature	way/1174013432	no						
sports_centre	Murro di Chitarra	climbing	10.93468656	46.02049498	Feature	way/1174013433	no						
sports_centre	Baule	climbing	10.934945279999999	46.02151764	Feature	way/1174013434	no						
sports_centre	Torre di Pietramurata	climbing	10.93637385	46.0223489875	Feature	way/1174013435	no						
sports_centre	Giardino di Nato	climbing	10.936953460000002	46.02282164	Feature	way/1174013436	no						
sports_centre	Parete Dos Casina - Catullo Detassis	climbing	10.890470816666665	45.861573916666664	Feature	way/1177594092	no						
sports_centre	Falesia S.Siro	climbing	10.9712019	46.0272322	Feature	node/268795930							
sports_centre	Palestra di Roccia Sasias	climbing	10.9599299	46.3807386	Feature	node/287973907							
sports_centre	La Gola	climbing	10.9612606	46.0595994	Feature	node/293114875							
sports_centre	Falesia La Gola - Pezzent Area	climbing	10.9670808	46.0593264	Feature	node/293114876							
sports_centre	Corna dal Vescov	climbing	10.5691253	45.8379889	Feature	node/711865889							
sports_centre	"Klettergarten ""Limarock"""	climbing	10.9257211	46.0607624	Feature	node/765601126							
sports_centre	Limarò	climbing	10.9461358	46.0474486	Feature	node/765601128							
sports_centre	Falesia Belvedere Sector A	climbing	10.8869872	45.8805674	Feature	node/865160885			limestone		yes		
sports_centre	Falesia Belvedere Sector B	climbing	10.8879426	45.8807838	Feature	node/865161982			limestone		yes		
sports_centre	Falesia di Traole	climbing	10.8972702	45.8679902	Feature	node/944296572							
sports_centre	Falesia di Serrada	climbing	11.1574151	45.8865459	Feature	node/1438773974							
sports_centre	Palestra di roccia	climbing	11.6841828	46.3725992	Feature	node/1891803026							
sports_centre	Segrom - Settore Basso	climbing	10.8947226	45.8695909	Feature	node/1992721143							
sports_centre	Campfour Boulder	climbing	10.9460088	46.0279392	Feature	node/2194569436						yes	
sports_centre	Falesia S.Siro	climbing	10.9699262	46.0279922	Feature	node/2200290913							
sports_centre	Falesia Massone Policromuro	climbing	10.9025846	45.9291847	Feature	node/2338603983							
sports_centre	Falesia della Vela - Settore B	climbing	11.0917611	46.0917036	Feature	node/2437406131							
sports_centre	Palestra di roccia San Bartolameo	climbing	11.1332036	46.0465305	Feature	node/2641465725							
sports_centre	Falesia La Gola - Arcadioland	climbing	10.9666468	46.0597275	Feature	node/3464870829							
sports_centre	Piccolo Dain - Parete della Centrale	climbing	10.9459936	46.047487	Feature	node/3470008090							
sports_centre	Palestra Naranc	climbing	10.911836	45.8857125	Feature	node/3570249399							
sports_centre	ex centrale	climbing	10.7187694	45.9259193	Feature	node/3810570576							
sports_centre	Massi Di Prabi	climbing	10.8902742	45.9274366	Feature	node/4171979697		yes	limestone	yes	yes	yes	yes
sports_centre	Block A	climbing	10.8904343	45.9282128	Feature	node/4171994112		yes	limestone	yes	yes	yes	yes
