leisure	name	sport	lat	lon	type	id	height	climbing:rock	natural	climbing	climbing:bolted	climbing:orientation	climbing:quality	climbing:sport	climbing:grade:french:max	climbing:grade:french:min	climbing:length	climbing:crag	climbing:grade:french:mean
outdoor_climbing_area	Falesia Monte Terlago	climbing	11.0363076	46.1162202	Feature	way/1169298260			cliff										
outdoor_climbing_area	Falesia Mescalisio	climbing	11.1471362	46.0950396	Feature	way/1171105612	25	limestone	cliff	crag	1m		solid	20	7a	5c	20	Mescalisio	5c
outdoor_climbing_area		climbing	10.7198762	45.9250579	Feature	way/961830149													
outdoor_climbing_area		climbing	10.7187758	45.925861	Feature	way/961830146													
outdoor_climbing_area		climbing	10.7174216	45.9262534	Feature	way/961830142													
outdoor_climbing_area		climbing	10.7175562	45.9261163	Feature	way/961830137													
outdoor_climbing_area		climbing	10.7173429	45.9262416	Feature	way/961830141													
outdoor_climbing_area	Falesia di Baone	climbing	10.8719029	45.9244875	Feature	node/250068699													
outdoor_climbing_area	Area arrampicata attrezzata	climbing	10.9751067	46.0102793	Feature	node/268797932													
outdoor_climbing_area	San Paolo	climbing	10.8942308	45.9374186	Feature	node/272274746													
outdoor_climbing_area	Falesia Croz de la niere	climbing	10.7504552	46.0461756	Feature	node/944269702													
outdoor_climbing_area	Noriglio	climbing	11.0589033	45.889534	Feature	node/944288551													
outdoor_climbing_area		climbing	10.8631198	45.8465357	Feature	node/959231770													
outdoor_climbing_area		climbing	10.8636834	45.8451073	Feature	node/959468944													
outdoor_climbing_area		climbing	10.862936	45.8450436	Feature	node/959468950													
outdoor_climbing_area	Parete Artificiale Malga Bissina	climbing	10.5170827	46.0535267	Feature	node/961334519						S	solid	yes					
outdoor_climbing_area		climbing	11.1312765	46.4819732	Feature	node/1219944762													
outdoor_climbing_area	Palestra di roccia	climbing	10.7388166	46.2805794	Feature	node/1329922437													
outdoor_climbing_area		climbing	10.7476038	46.1714453	Feature	node/1395199018													
outdoor_climbing_area	Parco dell'Arrampicata Val Lomasone - Settore Roccia dei Folletti	climbing	10.865473	45.9724586	Feature	node/1493354852													
outdoor_climbing_area	Via Calliope	climbing	10.8942248	45.9377259	Feature	node/1524662825													
outdoor_climbing_area		climbing	10.8548235	46.0578921	Feature	node/1576759993													
outdoor_climbing_area	Bosco Caproni	climbing	10.9028897	45.9288982	Feature	node/1725739819													
outdoor_climbing_area	Val Lomasone	climbing	10.8652789	45.9729669	Feature	node/1760865591		limestone			1m	W	solid	yes					
outdoor_climbing_area		climbing	11.0394778	45.932932	Feature	node/1831866724													
outdoor_climbing_area		climbing	11.0469539	45.8764431	Feature	node/1887588770													
outdoor_climbing_area		climbing	10.9984228	45.9209879	Feature	node/1950602797													
outdoor_climbing_area		climbing	10.9096362	45.8737433	Feature	node/2081539344													
outdoor_climbing_area		climbing	11.090716	46.3692506	Feature	node/2262105333													
outdoor_climbing_area	Palestra di roccia Bindesi	climbing	11.1540893	46.0366736	Feature	node/2410390011					yes			yes					
outdoor_climbing_area		climbing	11.0482382	46.1041321	Feature	node/2421337217													
outdoor_climbing_area	Palestra di roccia	climbing	11.0395252	46.0936226	Feature	node/2747184346													
outdoor_climbing_area	Palestra di roccia	climbing	11.0341495	46.088156	Feature	node/2748158445													
outdoor_climbing_area	Settore D, Piccolo Budda	climbing	10.8290251	45.863738	Feature	node/2823294379													
outdoor_climbing_area	Settore C	climbing	10.8272262	45.8641749	Feature	node/2823299116													
outdoor_climbing_area	Settore A	climbing	10.8276422	45.8649316	Feature	node/2823299117													
outdoor_climbing_area	Settore B	climbing	10.8268721	45.8643023	Feature	node/2823309736													
outdoor_climbing_area	La Ponta	climbing	10.8383197	45.8771238	Feature	node/2823428717													
outdoor_climbing_area	La Zolina	climbing	11.0128371	45.921955	Feature	node/2876402386								2					
outdoor_climbing_area		climbing	10.5789403	45.8610248	Feature	node/2945855811													
outdoor_climbing_area		climbing	10.8627904	45.8487277	Feature	node/3055394399													
outdoor_climbing_area		climbing	10.9066521	45.8840786	Feature	node/3265428590													
outdoor_climbing_area	Palestra di Roccia	climbing	10.9270299	45.8734995	Feature	node/3299243508													
outdoor_climbing_area	Palestra di roccia	climbing	10.9518386	45.8677096	Feature	node/3369037366													
outdoor_climbing_area		climbing	10.8264217	45.8635073	Feature	node/3469987860													
outdoor_climbing_area	L'Orto	climbing	10.8788096	45.9314385	Feature	node/3476733425													
outdoor_climbing_area	Lastoni di Dro	climbing	10.9205502	45.9542617	Feature	node/3583918547													
outdoor_climbing_area		climbing	10.9557093	45.9026546	Feature	node/3599269560													
outdoor_climbing_area	Simoncelli 7c	climbing	10.5294798	45.9843016	Feature	node/3668446132			stone										
