leisure	name	sport	lat	lon	id	surface
pitch	Campo Calcio Ravina	soccer	11.1086793	46.03707502	way/25468184	
pitch	Campo Naturale	soccer	11.1506475	46.05649998	way/25659496	grass
pitch		soccer	11.197536379999999	45.9993922	way/26432039	
pitch	campo sportivo Isera	soccer	11.01159724	45.88160226	way/27142264	grass
pitch		soccer	11.02824644	45.86769562	way/27651399	
pitch		soccer	11.13917576	46.41983734	way/28106389	
pitch		soccer	11.23260832	46.06443951999999	way/28920846	
pitch		soccer	11.23206098	46.07100208000001	way/28924458	
pitch		soccer	10.98447188	45.85331314	way/30005299	
pitch		soccer	11.13463262	46.19072564	way/30499060	grass
pitch	Campo oratorio	soccer	11.022457157142854	45.886610871428566	way/31287652	grass
pitch	Campo da Calcio di Daiano	soccer	11.44658758	46.3095524	way/33889542	
pitch	Campo delle Fucine	soccer	11.029941087500001	45.883868025	way/35611615	artificial_turf
pitch	Centro Sportivo Mauro Marzari	soccer	11.17331196	45.919507859999996	way/37041069	
pitch		soccer	10.848271583333334	45.89302743333334	way/37570629	grass
pitch		soccer	11.03686686	46.1101555	way/37763085	
pitch		soccer	11.1003164	46.13992298000001	way/37764560	
pitch		soccer	11.24320452	46.006830300000004	way/37794967	
pitch		soccer	11.216394339999999	45.996990520000004	way/37810516	
pitch	Campo Calcetto	soccer	11.21928506	45.99288342	way/37811734	tartan
pitch		soccer	11.10102988	46.14078946	way/37831680	
pitch		soccer	11.098036257142855	46.064321771428574	way/37855565	artificial_turf
pitch		soccer	11.224556999999999	46.17311984	way/37879139	
pitch	"Campo ""Mirko Bonetti"""	soccer	11.11920384	46.0929152	way/37937050	artificial_turf
pitch	Campetto della Chiesa	soccer	10.878169159999999	45.86918086	way/38096784	grass
pitch		soccer	11.104833959999999	46.13754914	way/38180403	
pitch		soccer	11.13824418	46.04194906	way/38595624	grass
pitch	Campetto Sintetico	soccer	11.149947919999999	46.056939920000005	way/39120308	artificial_turf
pitch		soccer	11.27944088	46.0795615	way/39212484	grass
pitch		soccer	11.30496614	46.16333004	way/39819369	grass
pitch		soccer	11.41314652	46.269682239999995	way/39836167	
pitch		soccer	11.253898239999998	46.036016020000005	way/40123808	
pitch		soccer	10.851535514285713	45.882925328571424	way/40514383	grass
pitch		soccer	11.05512114	45.87974982	way/41194746	
pitch		soccer	11.05492698	45.87932382	way/41194748	
pitch	Campo dell'Oratorio	soccer	10.90910242857143	45.962415899999996	way/41246748	
pitch	Campo da calcio	soccer	10.775167821428571	45.87019652857144	way/41646270	plastic
pitch	Pra delle Moneghe	soccer	11.037777916666668	45.881974033333336	way/42324695	
pitch	Grilli	soccer	10.56215558	45.84771615999999	way/42734541	
pitch		soccer	10.838834199999999	45.90427986249999	way/47156396	
pitch		soccer	11.29907846	46.10621122	way/50635984	
pitch		soccer	11.168690425000001	46.177752925	way/51208010	
pitch	Chizzola	soccer	11.00461722	45.8096883	way/51343465	
pitch		soccer	11.18890332	46.41074306	way/51353607	grass
pitch		soccer	10.97016306	45.80869098	way/52249460	
pitch	Intecomunale Nomi Calliano	soccer	11.088216366666666	45.93075506666667	way/53290963	grass
pitch		soccer	11.091679333333333	45.93234481666667	way/53599794	artificial_turf
pitch		soccer	10.959443760000001	45.8245462	way/54863975	artificial_turf
pitch		soccer	10.958907100000001	45.82315388	way/54863988	grass
pitch		soccer	11.118026019999999	46.097422619999996	way/55541356	artificial_turf
pitch		soccer	11.116602720000001	46.09758916	way/55541358	grass
pitch		soccer	11.110028199999999	45.94327173999999	way/56208141	
pitch		soccer	11.81226058	46.15397096	way/58119330	grass
pitch		soccer	10.60544994	45.892403820000006	way/58403989	
pitch		soccer	11.748175219999998	46.4764664	way/58675277	
pitch		soccer	11.011253242857142	45.84499805714286	way/58730040	grass
pitch	Campo Sportivo Cerfenal	soccer	11.50420748	46.299036259999994	way/58736539	
pitch		soccer	11.0326156	45.92066619090909	way/58736599	
pitch		soccer	11.46045578	46.287616660000005	way/58779157	
pitch	Campo da calcio di Transacqua	soccer	11.834710633333332	46.17867164999999	way/59463108	artificial_turf
pitch		soccer	11.797402371428571	46.149172642857145	way/59600485	
pitch		soccer	10.641968279999999	45.952225	way/60351188	
pitch	Centro Sportivo Darzo Carlo Maffei	soccer	10.55166016	45.836410980000004	way/60449251	grass
pitch		soccer	11.2104532	46.04520526	way/61648089	
pitch		soccer	10.754426760000001	46.12250904	way/61849452	ground
pitch	Campo da calcio	soccer	11.145233659999999	46.39489962	way/62031985	
pitch		soccer	10.866453885714284	45.92034605714286	way/62733928	
pitch	campo calcio 2	soccer	10.764625500000001	46.13819464	way/62828913	grass
pitch		soccer	11.550048899999998	46.28517166	way/64167407	
pitch		soccer	11.13816838	46.071099100000005	way/64714396	
pitch		soccer	11.43951976	46.29316612	way/66096400	
pitch		soccer	10.76590306	46.14803628	way/66345983	grass
pitch	Campo sportivo Pineta	soccer	10.758454583333334	46.153443333333335	way/66345987	grass
pitch	Campo sportivo Cereghini	soccer	10.75961768	46.1523392	way/66346004	grass
pitch		soccer	11.12034148	46.057070120000006	way/67027780	
pitch		soccer	11.120070683333333	46.06095210000001	way/67197017	
pitch		soccer	11.12065602	46.06099765999999	way/67197042	
pitch		soccer	11.12036462	46.06096096	way/67197046	
pitch		soccer	11.119790166666666	46.06091863333334	way/67197088	
pitch		soccer	10.719645038461538	45.89375954615385	way/69221160	artificial_turf
pitch		soccer	11.02911072	45.87941728	way/69425116	artificial_turf
pitch		soccer	11.08978304	46.00533282	way/70431436	grass
pitch		soccer	11.084602400000001	46.26447928333334	way/71449205	
pitch		soccer	11.0977785	46.26655468	way/71449311	
pitch		soccer	11.03105836	46.274950739999994	way/71617476	
pitch		soccer	11.09600168	46.218177159999996	way/72045124	artificial_turf
pitch		soccer	11.08554492	46.21931896	way/72045125	
pitch		soccer	10.98652236	45.8523038	way/72611126	
pitch		soccer	10.986529359999999	45.85387396	way/72611162	
pitch		soccer	11.28754294	46.00328866	way/72667580	
pitch		soccer	11.28607222	46.004381640000005	way/72667612	
pitch		soccer	11.0466173	46.2196559	way/73312597	
pitch		soccer	11.028772	46.2596059	way/73312603	artificial_turf
pitch		soccer	11.046383180000001	46.21880488000001	way/73312605	artificial_turf
pitch		soccer	11.025279059999999	46.297223380000005	way/73351635	
pitch		soccer	11.0231512	46.237792080000006	way/73446679	
pitch		soccer	11.053498000000001	46.2644255	way/73446680	grass
pitch		soccer	11.015513720000001	46.24933385999999	way/73446721	
pitch		soccer	10.93529998	45.8764295	way/73546541	
pitch		soccer	11.482016	46.283677250000004	way/73697183	
pitch		soccer	11.023419919999998	45.79625752	way/74817128	
pitch		soccer	11.08679116	46.168507139999996	way/75464538	artificial_turf
pitch		soccer	11.086878480000001	46.169159560000004	way/75464539	
pitch		soccer	11.12191136	46.06398254	way/75687282	concrete
pitch		soccer	11.061118099999998	45.91920897999999	way/75919405	
pitch		soccer	11.06217256	45.91890424	way/75919442	
pitch		soccer	10.887383366666665	45.91597507777778	way/78048666	
pitch		soccer	11.153455049999998	46.0644692	way/78363186	grass
pitch		soccer	11.11970006	46.061831340000005	way/78785890	
pitch	Campo sportivo	soccer	11.257298359999998	46.177702599999996	way/79499117	
pitch		soccer	11.22448468	46.15205502	way/79501503	
pitch	Campo sportivo	soccer	11.291222520000002	46.22159402	way/79813022	
pitch		soccer	11.13010242	46.05274497999999	way/79860152	
pitch	Campo sportivo	soccer	11.263765166666667	46.19693613333333	way/79885107	
pitch		soccer	11.01230166	46.1838335	way/80199470	
pitch		soccer	11.044236600000001	45.897635779999995	way/80281628	
pitch		soccer	11.3421684	46.24364988000001	way/80343873	
pitch		soccer	11.025831199999999	46.36261116	way/80515821	
pitch		soccer	11.027926959999999	46.344466260000004	way/80583083	
pitch		soccer	11.0302438	46.343260580000006	way/80583104	
pitch		soccer	11.038287014285713	46.36610658571429	way/80949710	
pitch		soccer	10.833444766666668	45.917689266666656	way/81085430	
pitch	Campo Sportivo	soccer	11.180181919999999	46.248272400000005	way/81543199	
pitch		soccer	10.620481860000002	45.94593655999999	way/82508251	
pitch	Campo	soccer	10.971805159999999	45.79630192	way/83424611	grass_paver
pitch		soccer	11.13174832	46.191618240000004	way/83551014	grass
pitch	Campo Sportivo	soccer	10.982752266666665	46.02827271111111	way/83913941	
pitch		soccer	10.914592870000002	45.968948669999996	way/83938765	grass
pitch		soccer	10.913839033333334	45.968489711111104	way/83938773	
pitch	Campo da Calcio	soccer	10.9787122	45.994756380000005	way/83995119	
pitch	Campo da Calcio	soccer	10.97958584	45.995283719999996	way/83995128	
pitch		soccer	10.939833533333335	45.97094468333333	way/85795330	
pitch	Campo Albaredo	soccer	11.05795966	45.856189560000004	way/87785412	
pitch		soccer	11.1240518	46.2148074	way/88039264	
pitch		soccer	11.12654854	46.21677034	way/88039275	
pitch	"Stadio ""Mutinelli"""	soccer	11.00804452	45.75989128000001	way/88088627	
pitch	Barattieri	soccer	11.03952424	45.8973683	way/88501122	artificial_turf
pitch	Barattieri	soccer	11.04009838	45.897097439999996	way/88501126	grass
pitch	Casae	soccer	11.12318044	45.780465580000005	way/88527956	
pitch	Campo di Calcio AC Fassa	soccer	11.67714592	46.41657424	way/88530131	grass
pitch		soccer	11.677845459999999	46.4160239	way/88530137	artificial_turf
pitch	Antistadio Quercia	soccer	11.0375238	45.90206152	way/88532406	grass
pitch		soccer	11.0374582	45.901068620000004	way/88532408	grass
pitch		soccer	11.11815904	46.31662648	way/93741503	grass
pitch		soccer	11.029108800000001	46.37919212857143	way/93975911	
