leisure	name	sport	lat	lon	id	surface	region
pitch		volleyball	11.28773172	46.0032065	way/72667631		region_1
pitch		volleyball	11.124793399999998	46.06612775999999	way/75414528	asphalt	region_1
pitch		volleyball	11.06190054	45.91870456	way/75919441		region_1
pitch		volleyball	11.11888358	46.09012684	way/82078000	artificial_turf	region_1
pitch		volleyball	11.52263598	46.06372672	way/116700116		region_1
pitch		volleyball	11.10019234	46.10219476	way/132153651		region_1
pitch		volleyball	11.142657200000002	46.0748378	way/133399564		region_1
pitch		volleyball	10.87742032	46.32628958	way/168197282		region_1
pitch		volleyball	10.862495739999998	46.3259643	way/168209869		region_1
pitch		volleyball	11.05834998	46.04176622	way/170735434		region_1
pitch		volleyball	11.05845934	46.04121658	way/170735435		region_1
pitch		volleyball	11.06622914	46.08772562	way/178771256		region_1
pitch		volleyball	10.57919788	45.86240266	way/193869683		region_1
pitch		volleyball	11.12067638	46.21663852	way/208255261		region_1
pitch	Cortile Grumes	volleyball	11.29409178	46.22121532	way/216511655		region_1
pitch		volleyball	11.12944076	46.00692488000001	way/217042083	artificial_turf	region_1
pitch		volleyball	11.1076511	46.43258762000001	way/217292073		region_1
pitch		volleyball	10.89952352	45.92191272	way/217912523		region_1
pitch		volleyball	11.10509372	46.37759384	way/218798674		region_1
pitch		volleyball	11.14200956	46.07583406	way/221509483		region_1
pitch		volleyball	11.0592499	46.07056396	way/222944479		region_1
pitch		volleyball	10.6485132	45.95188258	way/241167679		region_1
pitch		volleyball	10.99989284	45.75410264	way/244403474	paving_stones	region_1
pitch		volleyball	11.26597688	46.1449785	way/259614730		region_1
pitch		volleyball	11.278006440000002	46.079444640000006	way/264216626		region_1
pitch		volleyball	10.94316274	45.90051446	way/270977116		region_1
pitch		volleyball	11.09766902	46.15094424	way/309662952		region_1
pitch		volleyball	11.00770962	45.92276174	way/324295866		region_1
pitch		volleyball	11.2510151	45.93992412	way/344277542	sett	region_1
pitch	Campo da Pallavolo	volleyball	11.064862299999998	45.73986610000001	way/366486412	asphalt	region_1
pitch		volleyball	11.04390482	46.0949179	way/374368307		region_1
pitch		volleyball	11.02994676	46.23685286	way/375466669		region_1
pitch		volleyball	11.24514598	46.06841588	way/381857112		region_1
pitch		volleyball	11.134831959999998	46.0724688	way/390137301	sand	region_1
pitch		volleyball	11.16235198	46.07141674	way/393277792	grass	region_1
pitch		volleyball	10.71941812	45.89303222	way/399331987	artificial_turf	region_1
pitch		volleyball	10.886301	45.913916240000006	way/403515449	artificial_turf	region_1
pitch		volleyball	11.121265659999995	46.043628	way/426594826		region_1
pitch		volleyball	11.06915278	46.24866828	way/426658807	asphalt	region_1
pitch		volleyball	11.27540822	45.93375386	way/429525105	grass	region_1
pitch		volleyball	11.32164896	45.92235144	way/429827682		region_1
pitch		volleyball	11.10865608	46.06175294	way/449134479		region_1
pitch		volleyball	11.15396672	46.06700784	way/499451275	asphalt	region_1
pitch		volleyball	11.14369338	46.05154968000001	way/554844859		region_1
pitch		volleyball	11.11818714	46.09496612	way/557303734	artificial_turf	region_1
pitch		volleyball	11.09151686	46.12058288	way/558786206		region_1
pitch		volleyball	10.74030494	46.10387272	way/564382121		region_1
pitch		volleyball	10.749897120000002	46.05648212	way/564382355		region_1
pitch		volleyball	10.81409198	46.12515302	way/632124949		region_1
pitch		volleyball	11.011772639999998	45.889457140000005	way/721520932	artificial_turf	region_1
pitch		volleyball	10.84385372	45.89014706	way/848027354	artificial_turf	region_1
pitch		volleyball	11.460555	46.05284326	way/881970118		region_1
pitch		volleyball	10.729115920000002	45.90439814	way/960016102		region_1
pitch		volleyball	11.113787166666668	46.09014128333333	way/960754713		region_1
pitch		volleyball	10.97669308	45.69334456	way/991881105	clay	region_1
pitch		volleyball	11.13916876	46.06012298	way/1047509845		region_1
pitch		volleyball	11.10860438	46.1430682	way/1054617338		region_1
pitch		volleyball	11.61817496	46.1131418	way/1083753766		region_1
pitch		volleyball	11.81833948	46.1634614	way/1120080985		region_1
pitch		volleyball	11.11988344	46.06121802	way/1150113015		region_1
pitch		volleyball	11.11961938	46.06122678	way/1150113016		region_1
